	id	season	city	date	team1	team2	toss_winner	toss_decision	result	dl_applied	winner	win_by_runs	win_by_wickets	player_of_match	venue	umpire1	umpire2	umpire3	team1Winning	Avg_SR_Difference	Avg_WPR_Difference	Total_MVP_Difference	Prev_Enc_Team1_WinPerc	Total_RF_Difference
175	176	2011	Chennai	2011-04-08	Chennai Super Kings	Kolkata Knight Riders	Chennai Super Kings	bat	normal	0	Chennai Super Kings	2	0	S Anirudha	MA Chidambaram Stadium, Chepauk	BR Doctrove	PR Reiffel		1	19.6507738511	-0.359685354887	-4	75.0	0.0
178	179	2011	Delhi	2011-04-10	Delhi Daredevils	Mumbai Indians	Delhi Daredevils	bat	normal	0	Mumbai Indians	0	8	SL Malinga	Feroz Shah Kotla	AM Saheba	RB Tiffin		0	4.09020219921	-1.51606875276	-4	50.0	0.0
181	182	2011	Jaipur	2011-04-12	Delhi Daredevils	Rajasthan Royals	Delhi Daredevils	bat	normal	0	Rajasthan Royals	0	6	SK Warne	Sawai Mansingh Stadium	Aleem Dar	RB Tiffin		0	15.4923076508	-1.65577265939	1	57.1428571429	0.0
182	183	2011	Bangalore	2011-04-12	Royal Challengers Bangalore	Mumbai Indians	Mumbai Indians	field	normal	0	Mumbai Indians	0	9	SR Tendulkar	M Chinnaswamy Stadium	HDPK Dharmasena	AL Hill		0	24.7207366168	-1.72830592247	-8	42.8571428571	-100.0
183	184	2011	Chandigarh	2011-04-13	Chennai Super Kings	Kings XI Punjab	Kings XI Punjab	field	normal	0	Kings XI Punjab	0	6	PC Valthaty	Punjab Cricket Association Stadium, Mohali	Asad Rauf	SL Shastri		0	36.4314251036	1.62558414486	7	100.0	100.0
186	187	2011	Jaipur	2011-04-15	Rajasthan Royals	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Kolkata Knight Riders	0	9	G Gambhir	Sawai Mansingh Stadium	Aleem Dar	SS Hazare		0	6.00413495812	1.01775167004	-4	60.0	100.0
188	189	2011	Chennai	2011-04-16	Chennai Super Kings	Royal Challengers Bangalore	Chennai Super Kings	bat	normal	0	Chennai Super Kings	21	0	MEK Hussey	MA Chidambaram Stadium, Chepauk	HDPK Dharmasena	AL Hill		1	76.0440004386	1.29951283777	11	42.8571428571	50.0
191	192	2011	Kolkata	2011-04-17	Rajasthan Royals	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Kolkata Knight Riders	0	8	L Balaji	Eden Gardens	Aleem Dar	RB Tiffin		0	-9.40229686553	0.0461444041844	-8	50.0	0.0
196	197	2011	Chandigarh	2011-04-21	Kings XI Punjab	Rajasthan Royals	Rajasthan Royals	field	normal	0	Kings XI Punjab	48	0	SE Marsh	Punjab Cricket Association Stadium, Mohali	S Asnani	PR Reiffel		1	-1.27750238335	-0.719061700822	-2	33.3333333333	66.6666666667
197	198	2011	Mumbai	2011-04-22	Mumbai Indians	Chennai Super Kings	Chennai Super Kings	field	normal	0	Mumbai Indians	8	0	Harbhajan Singh	Wankhede Stadium	Asad Rauf	AM Saheba		1	-25.9224619545	-0.496875851256	-3	42.8571428571	33.3333333333
198	199	2011	Kolkata	2011-04-22	Kolkata Knight Riders	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	9	CH Gayle	Eden Gardens	SS Hazare	RB Tiffin		0	3.89705691369	3.31582244523	17	50.0	66.6666666667
199	200	2011	Delhi	2011-04-23	Delhi Daredevils	Kings XI Punjab	Kings XI Punjab	field	normal	0	Delhi Daredevils	29	0	DA Warner	Feroz Shah Kotla	S Asnani	RE Koertzen		1	-20.144364242	0.909624373378	-2	25.0	-100.0
203	204	2011	Delhi	2011-04-26	Delhi Daredevils	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	3	V Kohli	Feroz Shah Kotla	S Asnani	RJ Tucker		0	27.5279995024	0.0160997869718	3	83.3333333333	0.0
