	id	season	city	date	team1	team2	toss_winner	toss_decision	result	dl_applied	winner	win_by_runs	win_by_wickets	player_of_match	venue	umpire1	umpire2	umpire3	team1Winning	Avg_SR_Difference	Avg_WPR_Difference	Total_MVP_Difference	Prev_Enc_Team1_WinPerc	Total_RF_Difference
438	439	2014	Ahmedabad	2014-05-15	Rajasthan Royals	Delhi Daredevils	Delhi Daredevils	field	normal	0	Rajasthan Royals	62	0	AM Rahane	Sardar Patel Stadium, Motera	S Ravi	RJ Tucker		1	13.4564755704	1.31000523636	-4	53.8461538462	66.6666666667
439	440	2014	Ranchi	2014-05-18	Chennai Super Kings	Royal Challengers Bangalore	Chennai Super Kings	bat	normal	0	Royal Challengers Bangalore	0	5	AB de Villiers	JSCA International Stadium Complex	BNJ Oxenford	C Shamshuddin		0	4.10680348426	0.303142662014	6	57.1428571429	33.3333333333
441	442	2014	Ahmedabad	2014-05-19	Mumbai Indians	Rajasthan Royals	Mumbai Indians	bat	normal	0	Mumbai Indians	25	0	MEK Hussey	Sardar Patel Stadium, Motera	S Ravi	RJ Tucker		1	-13.1565492012	-3.25725877853	7	58.3333333333	-33.3333333333
442	443	2014	Delhi	2014-05-19	Delhi Daredevils	Kings XI Punjab	Kings XI Punjab	field	normal	0	Kings XI Punjab	0	4	AR Patel	Feroz Shah Kotla	HDPK Dharmasena	PG Pathak		0	-18.7359444295	-0.54913206907	6	40.0	-66.6666666667
444	445	2014	Kolkata	2014-05-20	Chennai Super Kings	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Kolkata Knight Riders	0	8	RV Uthappa	Eden Gardens	RM Deshpande	C Shamshuddin		0	10.0802992821	0.435662771921	11	72.7272727273	-33.3333333333
445	446	2014	Chandigarh	2014-05-21	Kings XI Punjab	Mumbai Indians	Mumbai Indians	field	normal	0	Mumbai Indians	0	7	LMP Simmons	Punjab Cricket Association Stadium, Mohali	HDPK Dharmasena	VA Kulkarni		0	16.0731247607	2.08301784756	-4	53.8461538462	33.3333333333
446	447	2014	Kolkata	2014-05-22	Kolkata Knight Riders	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Kolkata Knight Riders	30	0	RV Uthappa	Eden Gardens	AK Chaudhary	CK Nandan		1	2.95232747664	1.12830698068	7	58.3333333333	33.3333333333
448	449	2014	Mumbai	2014-05-23	Mumbai Indians	Delhi Daredevils	Delhi Daredevils	field	normal	0	Mumbai Indians	15	0	MEK Hussey	Wankhede Stadium	S Ravi	RJ Tucker		1	4.27107647807	1.05134888933	6	46.1538461538	66.6666666667
449	450	2014	Chandigarh	2014-05-23	Kings XI Punjab	Rajasthan Royals	Rajasthan Royals	field	normal	0	Kings XI Punjab	16	0	SE Marsh	Punjab Cricket Association Stadium, Mohali	HDPK Dharmasena	PG Pathak		1	7.53464988144	0.344610310809	-4	33.3333333333	0.0
450	451	2014	Bangalore	2014-05-24	Royal Challengers Bangalore	Chennai Super Kings	Chennai Super Kings	field	normal	0	Chennai Super Kings	0	8	MS Dhoni	M Chinnaswamy Stadium	AK Chaudhary	NJ Llong		0	-5.94286607839	-0.235020799474	-19	46.6666666667	33.3333333333
452	453	2014	Chandigarh	2014-05-25	Delhi Daredevils	Kings XI Punjab	Kings XI Punjab	field	normal	0	Kings XI Punjab	0	7	M Vohra	Punjab Cricket Association Stadium, Mohali	HDPK Dharmasena	VA Kulkarni		0	-18.7758413111	-3.95424489597	2	36.3636363636	-66.6666666667
453	454	2014	Mumbai	2014-05-25	Rajasthan Royals	Mumbai Indians	Mumbai Indians	field	normal	0	Mumbai Indians	0	5	CJ Anderson	Wankhede Stadium	K Srinath	RJ Tucker		0	7.22105794761	1.15233379366	-13	38.4615384615	-66.6666666667
454	455	2014	Kolkata	2014-05-27	Kolkata Knight Riders	Kings XI Punjab	Kings XI Punjab	field	normal	0	Kolkata Knight Riders	28	0	UT Yadav	Eden Gardens	NJ Llong	S Ravi		1	-14.2377673084	0.638598058403	15	50.0	33.3333333333
455	456	2014	Mumbai	2014-05-28	Mumbai Indians	Chennai Super Kings	Chennai Super Kings	field	normal	0	Chennai Super Kings	0	7	SK Raina	Brabourne Stadium	VA Kulkarni	BNJ Oxenford		0	6.74957878388	-1.4156639527	6	52.9411764706	66.6666666667
456	457	2014	Mumbai	2014-05-30	Kings XI Punjab	Chennai Super Kings	Chennai Super Kings	field	normal	0	Kings XI Punjab	24	0	V Sehwag	Wankhede Stadium	HDPK Dharmasena	RJ Tucker		1	12.7350935499	1.82691039654	-16	41.6666666667	0.0
457	458	2014	Bangalore	2014-06-01	Kings XI Punjab	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Kolkata Knight Riders	0	3	MK Pandey	M Chinnaswamy Stadium	HDPK Dharmasena	BNJ Oxenford		0	8.07418298022	-0.0259732891342	-12	46.1538461538	-33.3333333333
458	459	2015	Kolkata	2015-04-08	Mumbai Indians	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Kolkata Knight Riders	0	7	M Morkel	Eden Gardens	S Ravi	C Shamshuddin		0	-1.52784194035	-1.58627405749	-15	71.4285714286	0.0
459	460	2015	Chennai	2015-04-09	Chennai Super Kings	Delhi Daredevils	Delhi Daredevils	field	normal	0	Chennai Super Kings	1	0	A Nehra	MA Chidambaram Stadium, Chepauk	RK Illingworth	VA Kulkarni		1	2.93734561163	0.509024488738	25	71.4285714286	0.0
460	461	2015	Pune	2015-04-10	Rajasthan Royals	Kings XI Punjab	Kings XI Punjab	field	normal	0	Rajasthan Royals	26	0	JP Faulkner	Maharashtra Cricket Association Stadium	SD Fry	CB Gaffaney		1	1.03697028552	-1.10726376955	-12	61.5384615385	0.0
462	463	2015	Kolkata	2015-04-11	Kolkata Knight Riders	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	3	CH Gayle	Eden Gardens	S Ravi	C Shamshuddin		0	1.53988813526	0.552776463116	8	61.5384615385	100.0
463	464	2015	Delhi	2015-04-12	Delhi Daredevils	Rajasthan Royals	Rajasthan Royals	field	normal	0	Rajasthan Royals	0	3	DJ Hooda	Feroz Shah Kotla	SD Fry	CB Gaffaney		0	-15.2617261462	0.887539641068	-4	42.8571428571	-100.0
464	465	2015	Mumbai	2015-04-12	Kings XI Punjab	Mumbai Indians	Mumbai Indians	field	normal	0	Kings XI Punjab	18	0	GJ Bailey	Wankhede Stadium	AK Chaudhary	K Srinivasan		1	16.3323829675	1.90780193859	1	50.0	0.0
466	467	2015	Ahmedabad	2015-04-14	Mumbai Indians	Rajasthan Royals	Mumbai Indians	bat	normal	0	Rajasthan Royals	0	7	SPD Smith	Sardar Patel Stadium, Motera	AK Chaudhary	SD Fry		0	-34.9335559982	-0.0941118699034	4	64.2857142857	-100.0
467	468	2015	Kolkata	2015-04-30	Chennai Super Kings	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Kolkata Knight Riders	0	7	AD Russell	Eden Gardens	AK Chaudhary	M Erasmus		0	-6.34329797888	-0.252659673471	8	66.6666666667	50.0
468	469	2015	Pune	2015-04-15	Kings XI Punjab	Delhi Daredevils	Kings XI Punjab	bat	normal	0	Delhi Daredevils	0	5	MA Agarwal	Maharashtra Cricket Association Stadium	CB Gaffaney	K Srinath		0	19.7504975172	0.905157122693	17	66.6666666667	50.0
470	471	2015	Mumbai	2015-04-17	Mumbai Indians	Chennai Super Kings	Mumbai Indians	bat	normal	0	Chennai Super Kings	0	6	A Nehra	Wankhede Stadium	AK Chaudhary	M Erasmus		0	-1.63619586363	-1.13094707545	-11	50.0	-50.0
472	473	2015	Pune	2015-04-18	Kings XI Punjab	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Kolkata Knight Riders	0	4	AD Russell	Maharashtra Cricket Association Stadium	SD Fry	CK Nandan		0	9.85387601195	0.389723380143	-10	42.8571428571	-33.3333333333
473	474	2015	Ahmedabad	2015-04-19	Chennai Super Kings	Rajasthan Royals	Chennai Super Kings	bat	normal	0	Rajasthan Royals	0	8	AM Rahane	Sardar Patel Stadium, Motera	AK Chaudhary	M Erasmus		0	-6.9022932216	-0.0448880113038	15	66.6666666667	-33.3333333333
474	475	2015	Bangalore	2015-04-19	Mumbai Indians	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Mumbai Indians	18	0	Harbhajan Singh	M Chinnaswamy Stadium	RK Illingworth	VA Kulkarni		1	-6.54862284698	0.457863003623	-4	53.3333333333	-100.0
475	476	2015	Delhi	2015-04-20	Delhi Daredevils	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Kolkata Knight Riders	0	6	UT Yadav	Feroz Shah Kotla	SD Fry	CB Gaffaney		0	-11.0686504963	-0.136904687408	-22	46.1538461538	-33.3333333333
478	479	2015	Bangalore	2015-04-22	Chennai Super Kings	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Chennai Super Kings	27	0	SK Raina	M Chinnaswamy Stadium	JD Cloete	C Shamshuddin		1	7.04811760902	-1.24659010684	22	56.25	-16.6666666667
479	480	2015	Delhi	2015-04-23	Delhi Daredevils	Mumbai Indians	Mumbai Indians	field	normal	0	Delhi Daredevils	37	0	SS Iyer	Feroz Shah Kotla	SD Fry	CK Nandan		1	-0.596885332845	0.0205145518944	-11	50.0	0.0
480	481	2015	Ahmedabad	2015-04-24	Rajasthan Royals	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	9	MA Starc	Sardar Patel Stadium, Motera	M Erasmus	S Ravi		0	17.7237545964	0.354973750812	3	53.8461538462	66.6666666667
482	483	2015	Chennai	2015-04-25	Chennai Super Kings	Kings XI Punjab	Chennai Super Kings	bat	normal	0	Chennai Super Kings	97	0	BB McCullum	MA Chidambaram Stadium, Chepauk	JD Cloete	C Shamshuddin		1	-5.06137988637	-1.21215263927	7	53.8461538462	33.3333333333
483	484	2015	Delhi	2015-04-26	Delhi Daredevils	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	10	VR Aaron	Feroz Shah Kotla	M Erasmus	S Ravi		0	-5.00430199019	0.90659660781	-4	41.6666666667	33.3333333333
485	486	2015	Kolkata	2015-05-07	Kolkata Knight Riders	Delhi Daredevils	Kolkata Knight Riders	bat	normal	0	Kolkata Knight Riders	13	0	PP Chawla	Eden Gardens	AK Chaudhary	M Erasmus		1	2.01254304091	0.366984887869	21	57.1428571429	66.6666666667
487	488	2015	Chennai	2015-04-28	Chennai Super Kings	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Chennai Super Kings	2	0	DJ Bravo	MA Chidambaram Stadium, Chepauk	RM Deshpande	VA Kulkarni		1	2.91015086277	0.425559156083	7	61.5384615385	-33.3333333333
488	489	2015	Delhi	2015-05-01	Kings XI Punjab	Delhi Daredevils	Delhi Daredevils	field	normal	0	Delhi Daredevils	0	9	NM Coulter-Nile	Feroz Shah Kotla	RK Illingworth	S Ravi		0	14.2750803034	-0.50374068602	15	61.5384615385	-33.3333333333
489	490	2015	Mumbai	2015-05-01	Mumbai Indians	Rajasthan Royals	Rajasthan Royals	field	normal	0	Mumbai Indians	8	0	AT Rayudu	Wankhede Stadium	HDPK Dharmasena	CK Nandan		1	-13.5365208873	0.0973423527439	5	60.0	-33.3333333333
490	491	2015	Bangalore	2015-05-02	Kolkata Knight Riders	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	7	Mandeep Singh	M Chinnaswamy Stadium	JD Cloete	PG Pathak		0	4.51018785667	-0.57075781514	7	57.1428571429	0.0
492	493	2015	Chandigarh	2015-05-03	Mumbai Indians	Kings XI Punjab	Mumbai Indians	bat	normal	0	Mumbai Indians	23	0	LMP Simmons	Punjab Cricket Association Stadium, Mohali	RK Illingworth	VA Kulkarni		1	-13.615486544	-0.73702379654	-1	46.6666666667	66.6666666667
493	494	2015	Mumbai	2015-05-03	Rajasthan Royals	Delhi Daredevils	Delhi Daredevils	field	normal	0	Rajasthan Royals	14	0	AM Rahane	Brabourne Stadium	HDPK Dharmasena	CB Gaffaney		1	10.7755080664	0.786551957827	7	60.0	0.0
494	495	2015	Chennai	2015-05-04	Chennai Super Kings	Royal Challengers Bangalore	Chennai Super Kings	bat	normal	0	Chennai Super Kings	24	0	SK Raina	MA Chidambaram Stadium, Chepauk	C Shamshuddin	K Srinath		1	4.56958922306	-0.231438701829	25	58.8235294118	0.0
496	497	2015	Mumbai	2015-05-05	Delhi Daredevils	Mumbai Indians	Delhi Daredevils	bat	normal	0	Mumbai Indians	0	5	Harbhajan Singh	Wankhede Stadium	HDPK Dharmasena	CB Gaffaney		0	-18.7269710788	-0.755736900344	-14	53.3333333333	-33.3333333333
497	498	2015	Bangalore	2015-05-06	Royal Challengers Bangalore	Kings XI Punjab	Kings XI Punjab	field	normal	0	Royal Challengers Bangalore	138	0	CH Gayle	M Chinnaswamy Stadium	RK Illingworth	VA Kulkarni		1	-5.57473276667	0.886534766928	5	35.7142857143	66.6666666667
499	500	2015	Chennai	2015-05-08	Chennai Super Kings	Mumbai Indians	Chennai Super Kings	bat	normal	0	Mumbai Indians	0	6	HH Pandya	MA Chidambaram Stadium, Chepauk	CB Gaffaney	CK Nandan		0	5.01428305442	1.97234837575	17	52.6315789474	0.0
500	501	2015	Kolkata	2015-05-09	Kings XI Punjab	Kolkata Knight Riders	Kings XI Punjab	bat	normal	0	Kolkata Knight Riders	0	1	AD Russell	Eden Gardens	AK Chaudhary	HDPK Dharmasena		0	6.41507829717	0.254812646963	-18	40.0	-33.3333333333
502	503	2015	Mumbai	2015-05-10	Royal Challengers Bangalore	Mumbai Indians	Royal Challengers Bangalore	bat	normal	0	Royal Challengers Bangalore	39	0	AB de Villiers	Wankhede Stadium	JD Cloete	C Shamshuddin		1	-1.34330786998	2.06272863003	-3	43.75	-33.3333333333
503	504	2015	Chennai	2015-05-10	Chennai Super Kings	Rajasthan Royals	Chennai Super Kings	bat	normal	0	Chennai Super Kings	12	0	RA Jadeja	MA Chidambaram Stadium, Chepauk	M Erasmus	CK Nandan		1	-5.73859105716	-0.0464560779778	16	62.5	33.3333333333
505	506	2015	Raipur	2015-05-12	Chennai Super Kings	Delhi Daredevils	Chennai Super Kings	bat	normal	0	Delhi Daredevils	0	6	Z Khan	Shaheed Veer Narayan Singh International Stadium	RK Illingworth	VA Kulkarni		0	6.94145427185	1.67831769864	28	73.3333333333	33.3333333333
506	507	2015	Chandigarh	2015-05-13	Kings XI Punjab	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Kings XI Punjab	22	0	AR Patel	Punjab Cricket Association Stadium, Mohali	JD Cloete	C Shamshuddin		1	5.62238262177	-1.32472913119	-16	60.0	-66.6666666667
507	508	2015	Mumbai	2015-05-14	Mumbai Indians	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Mumbai Indians	5	0	HH Pandya	Wankhede Stadium	RK Illingworth	VA Kulkarni		1	-0.677688843918	-0.313345112959	-11	66.6666666667	33.3333333333
509	510	2015	Chandigarh	2015-05-16	Kings XI Punjab	Chennai Super Kings	Kings XI Punjab	bat	normal	0	Chennai Super Kings	0	7	P Negi	Punjab Cricket Association Stadium, Mohali	CK Nandan	C Shamshuddin		0	-0.71653641604	1.82440716122	-33	42.8571428571	0.0
510	511	2015	Mumbai	2015-05-16	Rajasthan Royals	Kolkata Knight Riders	Rajasthan Royals	bat	normal	0	Rajasthan Royals	9	0	SR Watson	Brabourne Stadium	RM Deshpande	RK Illingworth		1	-3.30382312076	-1.18186804959	-16	50.0	0.0
513	514	2015	Mumbai	2015-05-19	Mumbai Indians	Chennai Super Kings	Mumbai Indians	bat	normal	0	Mumbai Indians	25	0	KA Pollard	Wankhede Stadium	HDPK Dharmasena	RK Illingworth		1	6.31598087755	-0.617776618821	-24	50.0	0.0
514	515	2015	Pune	2015-05-20	Royal Challengers Bangalore	Rajasthan Royals	Royal Challengers Bangalore	bat	normal	0	Royal Challengers Bangalore	71	0	AB de Villiers	Maharashtra Cricket Association Stadium	AK Chaudhary	C Shamshuddin		1	-2.20037519341	0.969142714459	5	50.0	0.0
515	516	2015	Ranchi	2015-05-22	Royal Challengers Bangalore	Chennai Super Kings	Chennai Super Kings	field	normal	0	Chennai Super Kings	0	3	A Nehra	JSCA International Stadium Complex	AK Chaudhary	CB Gaffaney		0	-0.521024866385	1.03918112907	-23	38.8888888889	33.3333333333
516	517	2015	Kolkata	2015-05-24	Mumbai Indians	Chennai Super Kings	Chennai Super Kings	field	normal	0	Mumbai Indians	41	0	RG Sharma	Eden Gardens	HDPK Dharmasena	RK Illingworth		1	-1.57554987252	-1.70793051739	-24	52.380952381	0.0
